"Cluster"
"SDC3" 5
"SOX6" 9
"FAM123A" 11
"TSPAN18" 2
"MED31" 7
"PLG" 2
"ZNF532" 22
"CA8" 1
"NUDT16P" 3
"SLFN11" 5
"MDS1" 2
"ADAM8" 5
"EIF1AY" 37
"LRRIQ1" 1
"GPR150" 12
"SAA4" 28
"RAPGEF5" 6
"MGC39372" 1
"CDCA2" 8
"PTGFRN" 1
"SIGLEC5" 5
"DAGLA" 1
"HFE2" 9
"CLEC5A" 5
"MGAT3" 3
"RPP25" 3
"SOSTDC1" 0
"HRC" 4
"TMEM133" 3
"DOK5" 1
"MPEG1" 14
"ADCY2" 2
"OTC" 1
"TMIE" 2
"FAM128A" 1
"MTCP1" 3
"WFDC10B" 20
"ATRNL1" 3
"CAV2" 12
"TBX22" 26
"RP6-213H19.1" 2
"IGSF6" 14
"TPPP" 6
"GSTM5" 7
"MKX" 1
"PKP3" 8
"SH3GL2" 3
"CTSO" 11
"FER1L3" 3
"C4BPA" 28
"AGBL2" 1
"HIST1H1D" 15
"TREM1" 5
"CKMT2" 1
"SLC13A3" 33
"TIMP4" 6
"SLIT2" 1
"LONRF1" 1
"DPPA4" 15
"KCNMB4" 2
"HIST1H1C" 34
"CIDEB" 2
"CASP4" 5
"HIST1H2BH" 34
"LOC283767" 9
"BRD3" 32
"HIST1H2BO" 34
"SERPINA3" 28
"KCNJ16" 1
"ZNF57" 1
"CLEC9A" 10
"UGT8" 1
"MAPK4" 3
"FAM3D" 2
"NDP" 11
"RHOBTB1" 2
"SLC4A4" 2
"AOX1" 2
"CYR61" 3
"DTNA" 3
"IL1R1" 1
"HRSP12" 2
"LOH11CR2A" 6
"RELL2" 3
"ADAM2" 1
"TBC1D8B" 2
"LAPTM4B" 10
"SYT4" 2
"C9orf62" 12
"APOC1" 5
"RNASE4" 3
"SHMT2" 1
"MLYCD" 3
"UQCRH" 3
"RCBTB2" 2
"RP4-747L4.3" 2
"KLRB1" 14
"ALPK2" 3
"DNASE2B" 5
"AXUD1" 1
"RFX2" 3
"ANKZF1" 9
"DUSP8" 1
"LBR" 2
"IL2RG" 16
"ANKRD37" 2
"KCTD14" 2
"SLC44A4" 2
"ERBB4" 2
"GPHN" 10
"SLC6A2" 1
"IER2" 7
"FLJ21062" 2
"MALT1" 35
"RTDR1" 39
"MEX3B" 29
"FBXO16" 39
"MMP13" 21
"RTP3" 28
"ZBED3" 9
"CLGN" 2
"DEPDC7" 2
"DSP" 1
"FAM20A" 20
"IRF2BP2" 7
"EPDR1" 1
"KCNIP3" 3
"AKR1B10" 33
"RGS16" 1
"NFATC4" 31
"FBXO27" 7
"SYNGR3" 1
"EML1" 22
"HNRPUL2" 13
"C16orf24" 7
"MRVI1" 26
"CACNB3" 3
"GALNT13" 11
"NEDD4" 3
"SPO11" 0
"ATP6V0B" 3
"CACNA1E" 12
"FLJ12993" 4
"LRRC16" 9
"RP5-1022P6.2" 13
"PLTP" 20
"PLEKHB1" 3
"ZFP37" 2
"TMEM66" 12
"HBEGF" 4
"LEPRE1" 23
"POU2AF1" 8
"MRPL12" 22
"REP15" 2
"RASAL1" 2
"DDAH1" 27
"SAMD13" 9
"UGT2B15" 11
"TIPARP" 3
"DNASE1L3" 6
"MAP3K14" 1
"GGTLA4" 2
"DUSP2" 16
"GABRR2" 31
"PPAP2C" 8
"PAG1" 7
"STMN3" 1
"HMCN1" 3
"CD40" 5
"VSNL1" 11
"RAET1G" 12
"ZNF311" 5
"ATP6V1G3" 1
"FAM135A" 1
"ARHGAP4" 5
"ERMP1" 1
"MAG1" 1
"C3orf20" 31
"SCD5" 19
"MAL" 1
"WDR5B" 6
"C17orf60" 5
"SLC47A1" 2
"KRTAP17-1" 2
"TUSC2" 7
"KIR3DL2" 0
"CCDC104" 1
"EGR1" 3
"THSD1" 4
"KHK" 2
"CD58" 1
"STOX2" 7
"CCDC48" 6
"ABCB1" 2
"TRAT1" 16
"MTF1" 13
"PAGE2B" 8
"ZSCAN10" 12
"CDH17" 30
"CD180" 5
"HDGFRP3" 1
"OXCT1" 1
"RRAS2" 2
"LTBP2" 17
"SV2B" 3
"PKD1L2" 30
"FLJ22662" 1
"ZNF502" 1
"CRYBA2" 8
"LEF1" 21
"EYA1" 11
"EPS8L1" 8
"SERPINB2" 11
"PLA1A" 1
"HPR" 28
"C18orf2" 11
"SATB2" 2
"MGC157906" 3
"MAP3K8" 13
"STC1" 7
"CDGAP" 6
"DDX26B" 9
"TMEM14A" 2
"MYH3" 13
"SULT1A1" 12
"SPON1" 2
"PLA2G4A" 1
"HIST1H2BB" 34
"TLR8" 14
"PCDHA9" 0
"CLUL1" 3
"LDHA" 3
"KLHDC6" 1
"ATP5S" 9
"TCTN1" 1
"CAPG" 5
"WASF4" 3
"7A5" 2
"CRISPLD1" 0
"AMPD1" 8
"CCDC98" 10
"CPM" 1
"SLC26A4" 1
"PLD5" 30
"FAM59A" 18
"DPYS" 2
"GALNT12" 2
"GGTLA1" 19
"ZNF497" 5
"CDY1B" 31
"TUB" 5
"KCNK1" 1
"EREG" 11
"SCAMP5" 3
"RUNDC3B" 27
"IL17RB" 2
"MCAM" 4
"CDCA7" 8
"CAMP" 5
"GRHL3" 10
"CLMN" 8
"OVOL2" 3
"LCA5" 2
"ASRGL1" 2
"PTX3" 8
"SCGB3A1" 11
"STYX" 23
"PFKM" 1
"LOC440248" 13
"C8orf34" 1
"PELI1" 1
"C6orf125" 22
"C7" 17
"ARRDC4" 2
"AYTL2" 35
"MTUS1" 1
"HOXA7" 1
"DYNLRB2" 2
"MR1" 7
"SLITRK6" 8
"LIX1" 2
"F8" 1
"TNFRSF12A" 1
"EGR3" 3
"OASL" 10
"ACTN2" 3
"IL27" 2
"KLK15" 1
"CHAD" 31
"TLR3" 3
"FGF14" 1
"PRICKLE2" 1
"GLRA3" 11
"CLDN19" 7
"C1QL4" 3
"RNF165" 7
"DHRS9" 5
"ENTPD5" 18
"PDIA5" 35
"TMEM67" 2
"FLJ38723" 40
"KLRF1" 6
"ITGAM" 14
"RGS2" 3
"KIAA1737" 1
"OR4A5" 0
"GLIS1" 3
"LIPF" 14
"DIRAS3" 0
"ASGR2" 8
"ARMC3" 1
"BTBD3" 6
"ZDHHC11" 13
"EPHA3" 25
"EDIL3" 4
"KIF26A" 22
"B3GALT4" 10
"OSCAR" 5
"TMEM155" 16
"SKAP1" 4
"LEAP2" 2
"GADD45G" 1
"PILRB" 13
"DNMT3L" 7
"B3GNT3" 1
"LHCGR" 0
"MAGED4B" 15
"LOC136288" 1
"MOBKL1A" 1
"HTR2B" 19
"MYOM2" 2
"FAM105A" 14
"NAP1L3" 17
"B3GALNT1" 2
"TCP10L" 1
"DMKN" 1
"NUDT11" 0
"PYGL" 35
"B3GNT4" 1
"CDH22" 0
"DGKI" 1
"RIN3" 5
"PSG2" 1
"PSORS1C1" 1
"LPA" 2
"LY75" 10
"UTS2" 15
"GALNACT-2" 3
"FLJ31568" 6
"APOBEC1" 12
"SLC35E4" 13
"GINS4" 15
"MYO15A" 0
"GIMAP7" 6
"MT4" 10
"PLEKHN1" 1
"ACSM2A" 2
"LOC129881" 1
"KIAA1529" 13
"FLJ22639" 13
"FGA" 28
"IGFBP1" 21
"SLC1A1" 2
"ZNF766" 31
"GDPD3" 1
"FOS" 3
"PRODH" 1
"RBM11" 4
"SLC43A1" 2
"NTN1" 1
"PCDHB10" 3
"FBXL21" 2
"CORO1A" 16
"RRM2" 8
"SMAD5OS" 2
"UNC93A" 11
"A1BG" 6
"C21orf62" 2
"FMO5" 3
"TNFRSF1B" 25
"CLEC1A" 6
"BAG2" 3
"PAQR5" 9
"C9orf127" 1
"SHROOM3" 1
"JAM2" 4
"SNRPN" 13
"PCLKC" 2
"PCDHB16" 3
"WNT2B" 1
"ASNS" 2
"ISG20" 10
"ANKRD29" 1
"CXCL1" 1
"PC" 2
"DEFB127" 0
"PDZRN4" 1
"OR51E1" 6
"TMEM116" 3
"BEX1" 1
"SLC2A4" 1
"SLC26A9" 2
"NOS3" 3
"FAM43A" 4
"FLRT2" 17
"C6orf195" 12
"C9orf125" 18
"DZIP3" 3
"RIT1" 2
"RHBDF2" 23
"REXO1L1" 9
"C3orf57" 15
"TMEM121" 1
"MAP9" 33
"CXorf36" 6
"FAM133A" 11
"DISP2" 9
"C3orf18" 7
"FLJ13236" 1
"ZMYND12" 21
"GLB1L3" 12
"ATP13A5" 1
"CD96" 16
"DENND1C" 1
"RBMS3" 4
"TSPAN6" 9
"MATN2" 4
"ST6GALNAC2" 2
"FGFBP2" 6
"FGL1" 11
"MPP3" 13
"ACMSD" 1
"IL33" 6
"AMN" 18
"RNF212" 0
"KIAA1727" 1
"CTNNAL1" 1
"CIT" 7
"MYO1F" 5
"LOC285382" 4
"HOXB9" 3
"CHAF1B" 8
"NDUFA3" 7
"CIRBP" 12
"SEC14L4" 3
"FAT" 1
"GPRIN3" 1
"CCDC85A" 6
"PCSK5" 7
"ZFHX3" 13
"ORM2" 15
"FZD6" 9
"UNC119" 7
"GPX3" 2
"NOV" 19
"CABC1" 1
"DYX1C1" 39
"KCNMB2" 1
"ANK3" 2
"CDH12" 1
"JUB" 2
"CCL15" 2
"MT1H" 38
"PPP1R14C" 2
"FOXD1" 1
"C1orf213" 8
"PTPLAD2" 9
"RASL11A" 12
"GPRC5B" 1
"FRMD7" 1
"KITLG" 1
"HDGF" 1
"DDR2" 25
"KCTD12" 2
"WDR52" 7
"TMEM2" 5
"PPFIA4" 9
"MAP4K4" 25
"DOCK3" 2
"PAQR9" 1
"ASB17" 2
"CRIP3" 7
"GNGT2" 14
"C21orf121" 0
"ST7" 1
"POPDC3" 11
"ACOX2" 2
"TM4SF19" 8
"NOTCH3" 4
"ADAMTS5" 4
"FAM58A" 7
"FBXO32" 3
"TMEM16A" 4
"SDCBP2" 1
"HOXB2" 12
"GATM" 2
"CDKN3" 8
"CDH4" 3
"GAD1" 18
"TNFAIP8L2" 14
"ADCY9" 3
"C20orf74" 1
"MTMR11" 1
"VAV3" 9
"DAPL1" 2
"ARHGAP22" 40
"LRP11" 36
"PRODH2" 2
"C11orf54" 18
"IL7" 1
"BTG3" 2
"LOC130940" 1
"C1orf172" 1
"ATF7IP2" 5
"SLC25A43" 1
"IGF2BP1" 8
"CAMK2N2" 12
"NLF2" 12
"CCDC88A" 29
"ARNT2" 7
"ITPR3" 23
"TRAPPC6B" 1
"AMZ1" 9
"ARP11" 7
"WDSUB1" 9
"PLCE1" 17
"PTPLA" 3
"FIBIN" 1
"WASF1" 2
"CUBN" 2
"IGF1" 1
"NT5DC1" 23
"CYP39A1" 9
"TMEM139" 2
"GLULD1" 2
"GDF15" 3
"INCA" 5
"CACNA2D1" 1
"SH3BP4" 36
"PADI1" 2
"PON3" 16
"SLC38A5" 15
"FXYD6" 6
"B3GAT1" 5
"SUSD2" 2
"FADS1" 5
"KIAA1949" 5
"OXT" 12
"GPR153" 12
"CCDC11" 1
"RWDD2A" 39
"PALLD" 17
"CPLX4" 0
"MACROD1" 7
"C15orf52" 2
"BIRC5" 8
"PRR16" 4
"GHR" 6
"CLEC4E" 1
"SERPINB9" 16
"RP13-36C9.6" 8
